Token;POS;Género;Número
Este;DET;Masc;Sing
documento;NOUN;Masc;Sing
contiene;VERB;;Sing
un;DET;Masc;Sing
breve;ADJ;;Sing
resumen;NOUN;Masc;Sing
de;ADP;;
este;DET;Masc;Sing
estudio;NOUN;Masc;Sing
para;ADP;;
el;DET;Masc;Sing
público;NOUN;Masc;Sing
general;ADJ;;Sing
.;PUNCT;;
Encontrará;VERB;;Sing
más;ADV;;
información;NOUN;Fem;Sing
en;ADP;;
los;DET;Masc;Plur
resúmenes;NOUN;Masc;Plur
científicos;ADJ;Masc;Plur
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
.;PUNCT;;
Al;ADP;Masc;Sing
final;NOUN;;
de;ADP;;
este;DET;Masc;Sing
documento;NOUN;Masc;Sing
se;PRON;;
proporcionan;VERB;;Plur
enlaces;NOUN;Masc;Plur
a;ADP;;
esos;DET;Masc;Plur
resúmenes;NOUN;Masc;Plur
.;PUNCT;;
Nombres;PROPN;;
del;ADP;Masc;Sing
estudio;NOUN;Masc;Sing
Título;PROPN;;
breve;ADJ;;Sing
:;PUNCT;;
Estudio;PROPN;;
para;ADP;;
comparar;VERB;;
la;DET;Fem;Sing
albiglutida;ADJ;Fem;Sing
con;ADP;;
placebo;NOUN;Fem;Plur
sobre;ADP;;
los;DET;Masc;Plur
problemas;NOUN;Masc;Plur
cardiovasculares;ADJ;;Plur
mayores;ADJ;;Plur
cuando;SCONJ;;
se;PRON;;
añade;VERB;;Sing
al;ADP;Masc;Sing
tratamiento;NOUN;Masc;Sing
de;ADP;;
la;DET;Fem;Sing
diabetes;NOUN;Fem;
(;PUNCT;;
estudio;NOUN;Masc;Sing
Harmony;PROPN;;
Outcomes;PROPN;;
);PUNCT;;
.;PUNCT;;
Título;PROPN;;
científico;ADJ;Masc;Sing
completo;ADJ;Masc;Sing
:;PUNCT;;
Estudio;PROPN;;
a;ADP;;
largo;ADJ;Masc;Sing
plazo;NOUN;Masc;Sing
,;PUNCT;;
aleatorizado;ADJ;Masc;Sing
,;PUNCT;;
con;ADP;;
doble;ADJ;;Sing
enmascaramiento;NOUN;Masc;Sing
,;PUNCT;;
controlado;ADJ;Masc;Sing
con;ADP;;
placebo;PROPN;;
,;PUNCT;;
para;ADP;;
determinar;VERB;;
el;DET;Masc;Sing
efecto;NOUN;Masc;Sing
de;ADP;;
