token,gold_pos,gold_genero,gold_numero,spacy_pos,spacy_genero,spacy_numero,stanza_pos,stanza_genero,stanza_numero
Este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
documento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
contiene,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
un,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
breve,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
resumen,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
para,ADP,-,-,ADP,-,-,ADP,-,-
el,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
público,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
general,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Encontrará,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
más,ADV,-,-,ADV,-,-,ADV,-,-
información,NOUN,Fem,Sing,NOUN,Fem,Sing,NOUN,Fem,Sing
en,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
resúmenes,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
científicos,ADJ,Masc,Plur,ADJ,Masc,Plur,ADJ,Masc,Plur
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
final,NOUN,Masc,Sing,NOUN,-,-,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
este,DET,Masc,Sing,DET,Masc,Sing,DET,Masc,Sing
documento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
se,PRON,-,-,PRON,-,-,PRON,-,-
proporcionan,VERB,-,Plur,VERB,-,Plur,VERB,-,Plur
enlaces,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
a,ADP,-,-,ADP,-,-,ADP,-,-
esos,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
resúmenes,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Nombres,NOUN,Masc,Plur,PROPN,-,-,NOUN,Masc,Plur
del,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
Título,NOUN,Masc,Sing,PROPN,-,-,PROPN,-,-
breve,ADJ,-,Sing,ADJ,-,Sing,ADJ,-,Sing
:,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
Estudio,NOUN,Masc,Sing,PROPN,-,-,NOUN,-,-
para,ADP,-,-,ADP,-,-,ADP,-,-
comparar,VERB,-,-,VERB,-,-,VERB,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
albiglutida,NOUN,Fem,-,ADJ,Fem,Sing,NOUN,Fem,Sing
con,ADP,-,-,ADP,-,-,ADP,-,-
placebo,NOUN,Masc,Sing,NOUN,Fem,Plur,NOUN,Masc,Sing
sobre,ADP,-,-,ADP,-,-,ADP,-,-
los,DET,Masc,Plur,DET,Masc,Plur,DET,Masc,Plur
problemas,NOUN,Masc,Plur,NOUN,Masc,Plur,NOUN,Masc,Plur
cardiovasculares,ADJ,Masc,Plur,ADJ,-,Plur,ADJ,-,Plur
mayores,ADJ,Masc,Plur,ADJ,-,Plur,ADJ,-,Plur
cuando,SCONJ,-,-,SCONJ,-,-,SCONJ,-,-
se,PRON,-,-,PRON,-,-,PRON,-,-
añade,VERB,-,Sing,VERB,-,Sing,VERB,-,Sing
al,ADP,Masc,Sing,ADP,Masc,Sing,ADP,-,-
tratamiento,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
de,ADP,-,-,ADP,-,-,ADP,-,-
la,DET,Fem,Sing,DET,Fem,Sing,DET,Fem,Sing
diabetes,NOUN,Fem,-,NOUN,Fem,-,NOUN,Fem,-
(,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
estudio,NOUN,Masc,Sing,NOUN,Masc,Sing,NOUN,Masc,Sing
Harmony,PROPN,-,-,PROPN,-,-,PROPN,-,-
Outcomes,PROPN,-,-,PROPN,-,-,PROPN,-,-
),PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
.,PUNCT,-,-,PUNCT,-,-,PUNCT,-,-
